数据编号,comment,label
1,天使,happy
2,致敬[心][心]小凡也要做好防护措施哦//@Mr_凡先生:致敬[心]大家出门记得戴口罩,happy
3,[中国赞][中国赞][中国赞],happy
4,悲壮,sad
5,！！！一定会好起来,happy
6,愿平安//@烊家军:致敬，辛苦啦，愿平安！,happy
7,马毛都是温暖的人啊#马嘉祺公益祺迹#,happy
8,正视恐惧也要看到希望???,happy
9,平安平安?//@努力努力再努力x:#抗击新型肺炎第一线# 致敬伟大的逆行者们 一定要平平安安[心],happy
10,武汉加油！中国加油！安徽加油！,happy
11,山火暴雨肺炎流感渐暖的冬夜这世界是要毁灭了吗 ??,fear
12,[给力][睡][爱你]哇，很赞呢，[围观],happy
13,[偷笑]这么萌的照片，我收藏了,happy
14,#武汉15名医务人员感染新型冠状病毒#认真说，之前媒体官方一直都说可控根本就是骗人的吧，已经要请钟南山出马那说明应该非常严重，15名医护人员怎么可能一夜之间冒出来，说明就是早就有医护人员被感染但是没有通报。细挑0121。然之前就有医护人员被传染何来的可控和有限人传人？已知从武汉回家的那批人已经有人 ...全文,angry
15,为什么泰国治愈率这么高//@英伦圈:???,surprise
16,#深圳2名新型肺炎患者痊愈#看到这样的好消息新闻瞬间就觉得这次冠状病毒肺炎也没那么可怕了[赞] ??,happy
17,[黑线][挖鼻]哈哈，这样的福利我非常喜欢[疑问][顶],happy
18,想把支付宝开奖的钱捐给湖北[心][心]希望支付宝开通此项功能，让大家献爱心，每人贡献一点点#全国确诊新型肺炎病例# @支付宝 ??,happy
19,辛苦了,happy
20,武汉挺[抱抱],happy
21,[doge][doge][doge][爱你][爱你][爱你],happy
22,会好起来的???还想去武汉旅游呢！,happy
23,//@菜菜_AM:祝好！//@绍兴黄酒://@游识猷:既要保护自己的身体健康，也要保护自己的情绪健康。,happy
24,这次的疫情，哪家旅游app做的良心，我以后就专门用哪家了。 被扣除了手续费真不爽！ ??,angry
25,没有心么？,angry
26,[泪],sad
27,棒，争取向你一样早点独立,happy
28,//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
